Agglomération,Echantillon,Total,Total (+/-),Mobilité douce,Mobilité douce (+/-),Transport individuel motorisé,Transport individuel motorisé (+/-),Transports publics,Transports publics (+/-),Autres,Autres (+/-)
Suisse,62868,36.663101255990966,0.43977606117026463,2.8213592644162104,0.04034728283749409,24.353183180135524,0.3632019045296284,8.59427460596388,0.2550580479020991,0.8942842054753458,0.10459212268381045
Agglomération Lausanne,2296,32.70375017733453,2.181849834093123,2.2140464600366774,0.15603338602299546,23.80861256229529,1.8666527984312309,6.269040126447405,1.220888687959666,0.41205102855515346,0.3009518982487245
Agglomération Sion,614,32.015741748633936,4.313229789423063,2.504331714483159,0.6138758945168162,23.302243864251633,3.333976958472979,6.178616832909149,2.883824294234143,0.030549336989997806,0.0388764020324829
Agglomération Vevey-Montreux,797,38.27344688340198,4.037261388274719,2.168892444714181,0.2568056169607209,26.521630074162463,3.2454361202584705,9.298032939372055,2.660039068758559,0.28489142515328364,0.21981535171348504
Agglomération Genève (CH),5094,26.456591392730665,1.3971850016568856,2.74536364935927,0.13683288709901925,17.5443700451021,1.1375516851634677,5.583819282497933,0.7793818970576529,0.5830384157713663,0.2435210487092707
Agglomération Yverdon-les-Bains,332,38.93630054885886,6.409110612012889,2.898965711424035,0.585731141778348,24.590571493210415,5.100029448334806,10.182408402068745,3.962212426294864,1.2643549421556675,1.7576720427411021
Agglomération Monthey-Aigle,281,38.79262612790525,7.05329908703572,1.747693742365396,0.3282798733196133,28.84770642029494,6.111905116159274,6.071308114784122,2.814465480311778,2.125917850460798,2.4563285416145617
Agglomération Brig-Visp,261,43.75954386391446,8.266682633874808,2.7787813718073178,0.4527065058580356,17.98698236678375,3.98437646318341,22.65138791594754,7.484840061057635,0.34239220937585185,0.2682613900172728
Agglomération Sierre-Montana,251,33.837801957360526,6.56235718039745,2.2384033802059133,0.6697908287544325,24.41901246864082,5.277851250201374,6.96907649322972,4.196775534262491,0.2113096152840752,0.3148630707974864
Agglomération Winterthur,943,37.849703150618694,3.7650898032722084,3.4307496625844416,0.3037162628074207,18.75369650284775,2.619335237113113,14.79079707380161,2.9023028306114846,0.8744599113848951,0.5706501779956389
Agglomération Bern,3082,38.854024917218126,2.130827913862505,3.501701209912281,0.1990884803877266,22.702361034470236,1.6935066782517052,12.263415955441516,1.3946998528036003,0.38654671739408886,0.21047857403477377
Agglomération Neuchâtel,823,38.314881540604375,4.0482724778471875,2.4624040483862393,0.2617661151084139,27.03773917533044,3.526034318383419,8.103364591081332,2.2627686370967877,0.7113737258063552,0.5819879621357109
Agglomération Biel/Bienne,892,36.455892278460894,3.8965921215022377,3.0993474085659036,0.355601260372933,23.330306261807053,3.1675027572159458,8.955512558898395,2.1589528588475497,1.0707260491895396,1.1339422906443053
Agglomération Burgdorf,367,40.08675500356738,6.481770039758002,4.16449389583888,1.2421757400721227,21.26474778169245,4.4228652928935,11.048149104148,3.583392143961874,3.609364221888047,3.001757038265192
Agglomération Interlaken,370,42.876924794024795,7.925020604216275,4.705569745565807,0.9797710514709718,19.73634283844194,4.242059535061694,14.118315158473566,5.287988413177154,4.316697051543484,4.081046602944203
Agglomération Thun,886,41.184829036535476,4.093276487311921,3.7462017491218913,0.43536674373618706,23.445178809780632,3.0722648871580778,12.12701229172651,2.6268059463436932,1.8664361859064407,1.4054299394289582
Agglomération Grenchen,246,34.62789197464507,6.490628531176832,2.666195309077325,0.7000706121735897,23.608299077221396,4.571963048834439,4.542088376232343,2.304821284228969,3.811309212114001,4.423232680135641
Agglomération Bulle,550,30.672830170150483,3.7682321687490163,2.4104209241216417,0.34483728771285177,26.20938278490832,3.6276200233607,2.029628089747953,1.1774224859817133,0.02339837137256854,0.022185468306039954
Agglomération Fribourg,1362,36.90428941448969,2.9559425875006307,2.398197191484578,0.23558900864471247,24.941397262068197,2.3206871550387587,9.08474501281811,1.9072427928904736,0.4799499481187988,0.43871209721853155
Agglomération Olten-Zofingen,885,39.57225018839214,3.7985559338286574,3.2387979286522692,0.42783032737613275,25.453035851716933,3.18304001432235,9.293793421413188,2.083689040083988,1.5866229866097408,1.174146803694726
Agglomération Basel (CH),3240,31.18892923218907,1.8490547759687919,3.3648781562383294,0.17559475287816115,17.376727714214205,1.510707841861014,9.921941413307485,1.1335727393645172,0.5253819484290586,0.31595693256718294
Agglomération Aarau,882,39.195488306512175,4.050396104340603,2.948446611813746,0.33280888755998134,24.976475503638717,3.2969753473803793,9.247044954836547,2.148678810452439,2.0235212362231723,1.5510286123555015
Agglomération La-Chaux-de-Fonds-Le Locle (CH),777,28.392366308082533,3.6589638250648147,2.3755857533454363,0.3207350072388699,21.706480381861248,3.4071366608835323,4.042113264169972,1.5481886453385885,0.26818690870587836,0.202225102305178
Agglomération Delémont,620,35.45337385205937,4.506409651714714,2.5040444637792016,0.3880170039462244,23.131791637042937,3.2887689887767517,9.254648897185778,3.2434201603407153,0.5628888540514493,0.6566610733264189
Agglomération Solothurn,917,40.04945657122433,3.7756574123311357,3.4065094480556186,0.3784859258940288,26.539132541381882,3.270395330714886,8.874402389945272,1.967732253524233,1.2294121918415566,0.8773801575959211
Agglomération Zürich,7662,35.64677440846316,1.1676494140325404,2.8959708826892863,0.11170263358005286,20.79365295854304,0.9259384269015764,11.131996396166485,0.7550583562222576,0.825154171064351,0.2515453171730044
Agglomération Baden-Brugg,917,37.04134291424663,3.535047899143199,2.9721711369626673,0.2704619478416455,24.97944590526553,3.1053516923222206,8.961854564047567,2.0664320777153624,0.12787130797086754,0.09550025247776177
Agglomération Wohlen (AG),521,39.185534160973255,5.049199758482694,2.626042517014425,0.38883021619020103,29.36979356877623,4.510268222209942,6.6834808638058885,2.130936473115731,0.5062172113767125,0.564921539657251
Agglomération Lenzburg,491,37.662223118815,4.646337405046668,2.6843340722849347,0.3867810327560215,22.351909723383468,3.5630734631094576,10.750258411783468,2.9850902393959036,1.875720911363127,1.6017848139149011
Agglomération Rapperswil-Jona / Rüti,871,42.887805716912325,3.8498172093057215,3.2260793224859614,0.34037020802251267,23.625951699009978,2.9139631984361825,15.68621598735775,2.9123279466423226,0.34955870805864386,0.2935535774039848
Agglomération Wetzikon - Pfäffikon (ZH),744,35.8271837314265,3.6339047697854854,2.904715890828644,0.34895626416160247,20.707173379384805,2.6855350320194584,11.10042305236769,2.3611217483755222,1.1148714088453566,0.9880256520727148
Agglomération Amriswil-Romanshorn,238,35.60317305733447,6.587035622251887,2.4906997306508587,0.5694087662814208,26.402857592591502,5.4599863318701285,5.462378267941578,3.323646767122517,1.2472374661505332,2.5771672272907704
Agglomération Schaffhausen (CH),681,36.85545819929676,4.553164424818634,2.7827413499114306,0.4013453531515889,22.003251627004833,3.1563664945712073,10.556412398674041,2.8834322835185455,1.513052823706462,1.876863484625764
Agglomération St. Gallen,1084,36.257546558167554,3.4527567412901603,2.8583852109409276,0.2465837964090806,23.02779157419973,2.741314947471865,10.001753919806012,2.284589138260501,0.36961585322088536,0.45326312958275516
Agglomération Heerbrugg (CH),603,37.30534593923316,4.833041943895694,3.274917223922728,0.4859486711871909,29.39116932123258,4.614316380625511,4.119264325565,1.6130661174866132,0.5199950685128477,0.45533980820440695
Agglomération Buchs (SG) (CH),224,38.4866001326237,7.830789782026168,3.0416992524843045,0.7299428567043975,29.022244409871004,6.846081058997176,3.7344325800413345,2.7176111300175028,2.6882238902270585,3.310591326771636
Agglomération Wil (SG),891,41.814360999851736,3.872376972138604,2.81039665092792,0.320797948359388,26.769119847015816,3.126054786036679,11.055894427861434,2.4624359610537843,1.1789500740465666,0.9666590282365916
Agglomération St. Moritz,243,30.56299520962358,7.940581212201408,3.3432920299363387,0.6900989522304836,24.101636363345282,7.371327895912446,2.4061159455902414,1.9959428326926705,0.7119508707517136,0.6868044599379564
Agglomération Chur,700,38.08593031484381,4.846253134897148,3.3266095730199323,0.37567077691592277,24.755803666772085,3.689579907255099,9.218391818521413,3.1657603701693047,0.7851252565303842,1.2620944666785903
Agglomération Arbon-Rorschach (CH),865,40.127972129799886,4.0959927734472075,3.0405765859395855,0.4085553767968126,30.27266672735228,3.7094444694919253,5.701414353317169,1.691011634666796,1.11331446319085,1.1427104136185797
