Agglomération,Echantillon,Mobilité douce,Mobilité douce (+/-),Transport individuel motorisé,Transport individuel motorisé (+/-),Transports publics,Transports publics (+/-),Autres,Autres (+/-)
Suisse,62868,0.07695364461169756,0.001993344140981594,0.6642423130028062,0.003532093424117147,0.23441210131015655,0.003168425321415643,0.024391941075339738,0.0011537635169038384
Agglomération 5586,2296,0.06770007867694426,0.009832347568579996,0.7280086361103612,0.017415286953442764,0.19169178129278244,0.0154054736545576,0.012599503919912132,0.004365240795770357
Agglomération 6266,614,0.07822188641279926,0.020321881133379956,0.7278370761235262,0.033683571697153886,0.1929868400807169,0.029866939623750317,0.0009541973829577539,0.0023366753565672088
Agglomération 5890,797,0.05666833330485223,0.015358330869141236,0.6929511772210952,0.030640555153973317,0.24293691048256033,0.02848750283121084,0.007443578991492201,0.005709657997953449
Agglomération 6621,5094,0.10376860755061586,0.008012800940188188,0.6631379600141033,0.012418503525872449,0.21105588394248578,0.010721687284709144,0.022037548492795052,0.003857305300575926
Agglomération 5938,332,0.074454061391536,0.027017483692634365,0.6315590116825084,0.04964695868738763,0.26151453164615474,0.045229376603569245,0.03247239527980073,0.01824276050410814
Agglomération 6153,281,0.04505221524840781,0.023204140245287018,0.7436389154263395,0.04884551559326061,0.1565067571029114,0.04064666741613595,0.05480211222234144,0.025461126447840897
Agglomération 6002,261,0.06350115029646802,0.02830707009361831,0.41104135871983793,0.05711309036681427,0.5176330901983329,0.05800297501680727,0.00782440078536101,0.010227519472064654
Agglomération 6248,251,0.06615096876051689,0.02941984183121286,0.7216488972720967,0.05305097159377199,0.20595535436998974,0.047867737110968665,0.006244779597396701,0.009324641892141206
Agglomération 230,943,0.090641388888366,0.017532577805367957,0.495478033954969,0.030532836336870643,0.39077709579235725,0.02979665887767405,0.023103481364307635,0.009174404865879476
Agglomération 351,3082,0.0901245422417101,0.009673128293600477,0.5842988231679882,0.016648019244047733,0.31562794283397383,0.015699589367471817,0.009948691756327954,0.003352480612656513
Agglomération 6458,823,0.06426756261210662,0.016030334805430188,0.7056720023178742,0.02979120482965976,0.21149392260272956,0.02669453158583182,0.0185665124672896,0.008824019090767264
Agglomération 371,892,0.08501636401852879,0.017512423594090047,0.6399598200368619,0.03013978606239909,0.24565336353568146,0.027029322682978342,0.029370452408927956,0.01060157520501096
Agglomération 404,367,0.10388702940580438,0.02986756154322102,0.5304681753312303,0.048853974965126085,0.2756059726751345,0.04373906192079212,0.09003882258783093,0.028019737162410643
Agglomération 581,370,0.10974597101286428,0.030473417251812435,0.4603022006184627,0.048592219995458964,0.32927536725863915,0.04581647167841,0.10067646111003385,0.029335388396220154
Agglomération 942,886,0.09096072113832494,0.01811641099383967,0.5692673578657369,0.031197222196719034,0.2944533843024701,0.028716071387840224,0.04531853669346803,0.013104518760335977
Agglomération 2546,246,0.07699559970412127,0.03187410792295264,0.6817711888008562,0.0556919302344956,0.13116849213801726,0.04036321433994286,0.11006471935700518,0.03742023215244371
Agglomération 2125,550,0.07858488801817064,0.021517241468407843,0.854482049407172,0.028196757258528146,0.06617022552170951,0.01987717103985282,0.0007628370529478841,0.0022076976102629966
Agglomération 2196,1362,0.06498423976002576,0.012525517749613394,0.6758400624366308,0.023783941938780823,0.24617043592908686,0.021889544786815755,0.013005261874256728,0.005757038970753227
Agglomération 2581,885,0.08184517972147859,0.017280393624733596,0.6432041577252324,0.030198365156189875,0.23485632930066153,0.02672217154833294,0.04009433325262738,0.012366730423852427
Agglomération 2701,3240,0.10788694062525073,0.0102209822933032,0.5571440938177593,0.01636489542970233,0.318123823342655,0.015344371474731682,0.016845142214335113,0.004239811555176471
Agglomération 4001,882,0.07522413265416245,0.01665456521821916,0.6372283286362059,0.030359924086165356,0.23592115711185524,0.026809517199927156,0.05162638159777618,0.01397211131055378
Agglomération 6421,777,0.08366987547174508,0.018628195523520165,0.7645181858506102,0.028545183619358174,0.14236619872783524,0.0235079432403893,0.009445739949809425,0.006507547872966752
Agglomération 6711,620,0.07062922908911672,0.019295749244694467,0.652456709298466,0.03586370999409626,0.26103718466411074,0.03307785887018327,0.015876876948306373,0.009414172815710213
Agglomération 2601,917,0.08505756980740677,0.017275851214126604,0.6626589924930553,0.029279637969507007,0.22158608754560633,0.025719506144417772,0.030697350153931765,0.010682335895896115
Agglomération 261,7662,0.08124075546094103,0.00585312120436753,0.5833249516569518,0.010562183391841331,0.31228621890466357,0.009928415710324016,0.02314807397744367,0.0032215989805756055
Agglomération 4021,917,0.08023929218342479,0.016823527273888274,0.6743666384638035,0.02902007768189884,0.2419419453769509,0.026521183673928844,0.0034521239758207147,0.0036322719906286874
Agglomération 4082,521,0.06701561107286948,0.020543624648104976,0.7495060153608166,0.03559902503508971,0.17055990193601303,0.030901735736108715,0.012918471630300712,0.009277564285402409
Agglomération 4201,491,0.07127391454871172,0.0217740459723665,0.5934835459093513,0.04156936719301765,0.2854387638740566,0.038221366488324277,0.049803775667880565,0.018410593621039455
Agglomération 3340,871,0.075221365806873,0.016759118708184213,0.5508780713790015,0.03160614649177205,0.3657500243984752,0.030604415364518137,0.008150538415650378,0.005713177358796528
Agglomération 121,744,0.08107575277486063,0.018765910309400443,0.5779737959481619,0.03395533887624979,0.3098324204207751,0.031792522917208695,0.031118030856202235,0.01193784061684534
Agglomération 4436,238,0.06995724023361337,0.031006308762665937,0.741587204884042,0.05321332494282886,0.15342391699596827,0.04380884523548365,0.035031637886376386,0.022349562901711275
Agglomération 2939,681,0.07550418542794098,0.018986074715863787,0.5970147354571399,0.035247985890971625,0.2864273818436876,0.03248804309461979,0.04105369727123166,0.014258389686378757
