Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Suisse,62868,36.663101255990966,0.43977606117026463,2.0340379611594996,0.02474554915026996,0.7873213032567107,0.03265619736369625,0.5129064530224233,0.04617981555253666,23.8402767271131,0.36070329880218316,1.5310486158873968,0.047588054900924534,7.063225990076484,0.24394702753398304,0.8942842054753458,0.10459212268381045
Agglomération Lausanne,2296,32.70375017733453,2.181849834093123,1.976013991586331,0.11171039613762095,0.23803246845034623,0.10972015105081327,0.5403004670210076,0.31373800871446633,23.268312095274286,1.8451857381437993,1.6976590491240888,0.1835076474404843,4.5713810773233154,1.1929173839595415,0.41205102855515346,0.3009518982487245
Agglomération Sion,614,32.015741748633936,4.313229789423063,1.6322808140445086,0.21432123622222968,0.8720509004386501,0.5853051896435179,0.4462811125940446,0.29649978790466514,22.85596275165759,3.3377863782487975,0.5251464194487736,0.185803187691327,5.653470413460374,2.850076466434586,0.030549336989997806,0.0388764020324829
Agglomération Vevey-Montreux,797,38.27344688340198,4.037261388274719,1.8563556176301177,0.181130082525202,0.3125368270840637,0.18876946333444575,0.43074075707366033,0.2966272962678298,26.090889317088806,3.2462402628088145,1.0815506176797156,0.5542750442501213,8.21648232169234,2.5816072094117017,0.28489142515328364,0.21981535171348504
Agglomération Genève (CH),5094,26.456591392730665,1.3971850016568856,2.0928718399162722,0.08167779852798165,0.6524918094429981,0.11278296816405665,0.6740517042496313,0.12118401138627108,16.870318340852467,1.1350914556864744,1.9829908200359243,0.1837415023614715,3.6008284624620073,0.7337997731149352,0.5830384157713663,0.2435210487092707
Agglomération Yverdon-les-Bains,332,38.93630054885886,6.409110612012889,1.955867239212284,0.31716220703980147,0.9430984722117504,0.523928850391007,0.3337776045104311,0.32300981449357935,24.256793888699985,5.071045891900145,1.6488256588292605,1.4651863218510839,8.533582743239485,3.63360872648341,1.2643549421556675,1.7576720427411021
Agglomération Monthey-Aigle,281,38.79262612790525,7.05329908703572,1.54600122378691,0.2696597458847895,0.2016925185784862,0.1993742845053335,1.3464995078034545,1.1026754698708296,27.50120691249149,6.050966564001865,0.22048183811615477,0.16321880968112387,5.850826276667966,2.766511453255445,2.125917850460798,2.4563285416145617
Agglomération Brig-Visp,261,43.75954386391446,8.266682633874808,2.312758087205942,0.36105646531081487,0.4660232846013756,0.29175608015116783,0.31157395744483624,0.26734232249327927,17.675408409338914,3.9926142912847036,1.0450831318098206,0.4988340327977142,21.60630478413772,7.396076668919084,0.34239220937585185,0.2682613900172728
Agglomération Sierre-Montana,251,33.837801957360526,6.56235718039745,1.7827702992396546,0.38626050489832253,0.45563308096625865,0.5420590380105942,0.7624539896802295,0.5029044229055514,23.656558478960587,5.291014124696449,1.4025647784495252,0.6776071492538742,5.566511714780195,3.986222305175716,0.2113096152840752,0.3148630707974864
Agglomération Winterthur,943,37.849703150618694,3.7650898032722084,2.1386583714793925,0.2021258437362178,1.2920912911050488,0.24602232037252747,0.11848912862352692,0.09196538350206435,18.635207374224226,2.6141976984001483,1.875618820666884,0.5229428115192646,12.915178253134728,2.7421103538404292,0.8744599113848951,0.5706501779956389
Agglomération Bern,3082,38.854024917218126,2.130827913862505,2.3847652126687917,0.11506196776951935,1.1169359972434891,0.1704120903585194,0.3738758443879057,0.15732334519570887,22.328485190082333,1.6887829017176115,2.1001346836225787,0.26985628082516094,10.16328127181894,1.329465095359646,0.38654671739408886,0.21047857403477377
Agglomération Neuchâtel,823,38.314881540604375,4.0482724778471875,1.9572837722038487,0.18196064316810592,0.5051202761823907,0.19532991020407928,0.22904375384377623,0.1488746350125185,26.808695421486664,3.5240525807891143,2.0728611334141664,0.4053408272454744,6.030503457667167,2.194336632095008,0.7113737258063552,0.5819879621357109
Agglomération Biel/Bienne,892,36.455892278460894,3.8965921215022377,2.0199036085529043,0.2033086132604586,1.0794438000129996,0.30273188174108406,0.6212282976570388,0.48292567900681554,22.709077964150016,3.1356186696107264,1.0273999000935854,0.20148762315157254,7.92811265880481,2.07776278494022,1.0707260491895396,1.1339422906443053
Agglomération Burgdorf,367,40.08675500356738,6.481770039758002,2.011184968793443,0.31057862269574743,2.1533089270454364,1.15320076267944,1.3128717998771309,0.9873892389771022,19.951875981815324,4.195333631545724,0.7660119757371052,0.2885769766583522,10.282137128410893,3.5098412829887184,3.609364221888047,3.001757038265192
Agglomération Interlaken,370,42.876924794024795,7.925020604216275,2.5886832829427657,0.4169011784163661,2.116886462623041,0.8931094787645072,0.4885196330833246,0.3814984681096696,19.247823205358614,4.244787389490118,0.4492773774929912,0.19077410090368557,13.669037780980576,5.212758204740301,4.316697051543484,4.081046602944203
Agglomération Thun,886,41.184829036535476,4.093276487311921,2.193887023900941,0.237355326123626,1.552314725220951,0.3805402023761625,0.661515653032185,0.5208325998712245,22.78366315674845,3.025935231002245,1.2872757742830363,0.2704636702687198,10.839736517443475,2.5422806103093283,1.8664361859064407,1.4054299394289582
Agglomération Grenchen,246,34.62789197464507,6.490628531176832,2.108034150656715,0.45370557547704987,0.55816115842061,0.5568273111040279,0.10744845000941879,0.10007567145840465,23.500850627211975,4.5708622602138105,0.4978425643308091,0.2845061928366279,4.044245811901535,2.228702062404768,3.811309212114001,4.423232680135641
