Agglomération,Echantillon,A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Suisse,62868,0.05547915728561359,0.0017120901636413436,0.02147448732608396,0.0010841850395719838,0.013989718148532553,0.0008784178162104547,0.6502525948542737,0.0035667628033080757,0.04175993201440412,0.001496142590537639,0.19265216929575243,0.002949668596502851,0.024391941075339738,0.0011537635169038384
Agglomération Lausanne,2296,0.06042163301980627,0.009324972197625073,0.0072784456571379896,0.0033267323348525014,0.016521055355769722,0.004988686791995706,0.7114875807545915,0.0177317144911022,0.05191022558326227,0.008682324253000273,0.13978155570952014,0.013571070971627764,0.012599503919912132,0.004365240795770357
Agglomération Sion,614,0.05098369504789484,0.016647118039271706,0.02723819136490439,0.012319099335566058,0.013939427550919906,0.008872802905748512,0.7138976485726062,0.03420308324523708,0.016402756605543294,0.009612882631334353,0.17658408347517351,0.028858381783858817,0.0009541973829577537,0.0023366753565672088
Agglomération Vevey-Montreux,797,0.04850244147817169,0.0142701070876167,0.008165891826680531,0.005978096534676877,0.011254297486868351,0.0070071770793205855,0.6816968797342269,0.030942663468371465,0.028258510945580673,0.011007573712604283,0.21467839953697962,0.02727467214547738,0.007443578991492199,0.005709657997953448
Agglomération Genève (CH),5094,0.07910587606880148,0.007091702467765873,0.024662731481814387,0.004075109474760158,0.025477647299449048,0.0041401573428248755,0.6376603127146543,0.012629726031955238,0.07495261920176081,0.006918575412282848,0.13610326474072498,0.009009619938874919,0.022037548492795055,0.003857305300575926
Agglomération Yverdon-les-Bains,332,0.05023248772075769,0.022480331449098872,0.024221573670778294,0.015822623554169215,0.008572401584264361,0.009488192075728267,0.6229866100982441,0.049879197248780455,0.04234674675269281,0.020726018515519633,0.21916778489346198,0.042576399508575447,0.03247239527980073,0.01824276050410814
Agglomération Monthey-Aigle,281,0.039852966352149154,0.021883500445479074,0.0051992488962586585,0.008045553925811284,0.03471019217321969,0.020477407039919206,0.70892872325312,0.05081811544344724,0.005683601759499144,0.008409917096297416,0.15082315534341226,0.04003599962411487,0.05480211222234144,0.025461126447840897
Agglomération Brig-Visp,261,0.05285151267568667,0.02597097450397042,0.01064963762078136,0.011914970559862641,0.007120137230264189,0.009759847534537595,0.40392122148957377,0.056957466799935526,0.023882404603207712,0.017723137076879857,0.49375068559512514,0.05803454446194376,0.00782440078536101,0.010227519472064654
Agglomération Sierre-Montana,251,0.052685759597687454,0.026444024371233,0.013465209162829433,0.013642584349788909,0.02253260984980668,0.01756672409051122,0.6991162874222899,0.054288512538934804,0.04144964203694188,0.023594009605212928,0.1645057123330479,0.04388298151300568,0.006244779597396701,0.009324641892141206
Agglomération Winterthur,943,0.056503966833473925,0.014100172171881588,0.03413742205489207,0.011088886490452561,0.0031305167216771177,0.003411474048364986,0.49234751723329195,0.030530508703584147,0.04955438654837177,0.01325316468810119,0.3412227092439855,0.028953640692212273,0.023103481364307635,0.009174404865879476
