Agglomération;Echantillon;Mobilité douce;Mobilité douce (+/-);Transport individuel motorisé;Transport individuel motorisé (+/-);Transports publics;Transports publics (+/-);Autres;Autres (+/-)
Suisse;57090;0.07610508391890403;0.0020811762222324322;0.661231852114779;0.0037146585510596398;0.24400484262019456;0.0033709278854106607;0.018658221346122338;0.0010620280730469338
Agglomération 5002;577;0.06814204279286526;0.019672759399937314;0.7179674997853257;0.035130539435310054;0.20482287125936077;0.031506779393373756;0.009067586162448363;0.007400323582541436
Agglomération 3231;572;0.07195806603207808;0.02026265176770154;0.8008720088072595;0.03131269537534168;0.09346676860812424;0.022824076685813505;0.033703156552538124;0.014150223793006352
Agglomération 6621;5249;0.11456853674569072;0.008244088126202356;0.6418781330042097;0.012410068468201543;0.23068637363839686;0.010904233698882914;0.012866956611702686;0.002917146434804912
Agglomération 3203;592;0.10390981085338469;0.023518739330174065;0.610698353917015;0.037580832371213006;0.28315318052746224;0.03472432431208445;0.0022386547021381116;0.003642644539052202
Agglomération 3901;726;0.07276428167108293;0.018078260615742737;0.6553114841977722;0.0330780378447292;0.23626309321762037;0.02956461821117091;0.03566114091352467;0.01290669043750662
Agglomération 2701;3305;0.09868119434707895;0.009728400391861186;0.5682544264944108;0.016157359281518586;0.31705083699239983;0.015179017521484244;0.01601354216611047;0.00409471129340009
Agglomération 261;4847;0.08749417326522843;0.00761099843830804;0.5707625574733486;0.013332475082835273;0.3191259752268578;0.012555924754179186;0.022617294034565028;0.004004855869725995
Agglomération 3425;616;0.060488907296683825;0.018012302139475595;0.6951089941586568;0.034783970817547805;0.24220134509233815;0.03237021529634836;0.002200753452321327;0.003540688164637872
Agglomération 4021;921;0.08170200022759666;0.01692579600132773;0.6454993087149961;0.029559519656670717;0.26279071136532794;0.027198273903246993;0.010007979692079177;0.00615077716356219
Agglomération 2581;919;0.07034916914888463;0.015819851960323185;0.6045513693856978;0.030246466110933266;0.31600613131416294;0.028759865908976473;0.009093330151254688;0.005872064988082773
Agglomération 5890;831;0.058791407411388864;0.01530277214882361;0.698717865421324;0.02984749275574341;0.22957826165197506;0.027358979089932466;0.012912465515312221;0.007344338119947985
Agglomération 230;980;0.09439356880469606;0.017514537269046372;0.5850819624959337;0.029515301780328858;0.31722512914351686;0.027879197699684995;0.003299339555853594;0.0034352124075442293
Agglomération 6266;519;0.059569095970493514;0.01948323305245468;0.7264156287512931;0.03669655593735959;0.15877183111497298;0.030083662295797554;0.055243444163240514;0.01880560913531624
Agglomération 4001;907;0.08254436989421482;0.01713576010274916;0.5651465193601826;0.030868755009717728;0.32098118466567294;0.029070185440865676;0.03132792607992961;0.010847291785058999
Agglomération 2601;876;0.0789324668723615;0.017084106715102992;0.6733702250639856;0.029714849900237744;0.24197182313107105;0.027135871466963574;0.005725484932581893;0.004780551405200029
Agglomération 6458;1209;0.0649057709244308;0.013287000394591375;0.7171135439860219;0.024291685130031247;0.2027226597211518;0.021682705016288138;0.015258025368395343;0.0066110127473188035
Agglomération 4401;627;0.07188247928905644;0.019344165215029133;0.7818237028210856;0.03093108703860497;0.12878034501345645;0.025085664386590035;0.017513472876401558;0.009823956302844557
Agglomération 1061;1682;0.09362707394505866;0.013320236799816136;0.5993864074620984;0.022406501040344196;0.27662881395532374;0.02045441523181519;0.03035770463751936;0.007845091241832153
Agglomération 2125;486;0.05705123394241343;0.01973009554128935;0.7901794508860454;0.03463693816744339;0.11125431037365614;0.026748522358347734;0.041515004797885134;0.01696867080930024
Agglomération 4201;478;0.06876079115889475;0.021704903755885987;0.6279331758817073;0.04145949362273625;0.2992525805932054;0.039278646221290854;0.004053452366192388;0.005449885242231048
Agglomération 371;527;0.10598015485609587;0.025144980346408528;0.5786645737657825;0.040336004980504776;0.29893745885656736;0.037396761669832176;0.016417812521554297;0.010380742532207568
Agglomération 6421;986;0.07239324764422733;0.015476162345376522;0.7677505102048339;0.025218528233222116;0.15684425562765114;0.021718033888303626;0.003011986523287622;0.0032726817661234146
Agglomération 4566;608;0.08487589716135405;0.021195865255585332;0.6850726345278323;0.03532583807829267;0.2092824003231055;0.030938269664019982;0.020769067987708074;0.010846010730196086
Agglomération 2939;666;0.06501065309506653;0.01791551243875575;0.6015048114985316;0.035576623919087176;0.30246057095567236;0.03337739233042803;0.031023964450729427;0.01259907914940825
Agglomération 121;586;0.06968223711150756;0.019724165808456443;0.6805667250507649;0.036119969780973815;0.2465455617909977;0.03338866369844797;0.0032054760467297738;0.0043789605766698745
Agglomération 5586;2227;0.06648090159179772;0.009899669571797387;0.663706862550069;0.018774042716510612;0.2530262396660142;0.017276115499302618;0.01678599619211895;0.005105146778035241
Agglomération 1509;464;0.07496652734747629;0.022925783362072388;0.7322934834439114;0.03854639962252492;0.1814862032040581;0.03355417559861253;0.011253786004554293;0.009183400109845656
Agglomération 3336;581;0.09010031718793023;0.022276276722140095;0.48454228795388765;0.038881682637918115;0.40143505790831413;0.03813695149408774;0.02392233694986793;0.011888489435306106
Agglomération 2196;1235;0.05796029599812868;0.0124691593725698;0.6638833269491671;0.025207407591211414;0.2550798179771437;0.02326109711023622;0.02307655907556053;0.008012223697526
Agglomération 351;1305;0.087082956264052;0.014636853882382637;0.5366869618792526;0.025885900715628445;0.36389984826675204;0.024975787153186362;0.01233023358994341;0.005728712531238729
Agglomération 942;574;0.08212439572352798;0.021490316641391293;0.5999677859004343;0.03834654643167946;0.30905450312405186;0.0361704773891496;0.008853315251985896;0.0073322411199625015
Agglomération 404;243;0.097550797365571;0.0356939335993171;0.5507548702484426;0.05983957202342618;0.34987293525125374;0.05737489636902192;0.001821397134732671;0.005129488604674844
Agglomération 5250;568;0.05974898251244384;0.018650210964663853;0.6889233785209483;0.03642635652053411;0.2452257770520791;0.03385229956039641;0.006101861914528855;0.006127717171063121
Agglomération 1372;365;0.09544271708062183;0.028841228539093468;0.6560660133624523;0.046626802962829714;0.19703777584874532;0.03904330979435416;0.05145349370818059;0.02168508207319993
Agglomération 5938;339;0.07286061958659526;0.026472188622479204;0.726483673479599;0.04540204986854772;0.16973949518291195;0.03823574417739523;0.030916211750893863;0.01762969119946542
Agglomération 2546;365;0.07332780831607073;0.025587139623572976;0.7515383035050076;0.042415989664704695;0.17153639436364793;0.037003190987706186;0.003597493815273554;0.005876811420770819
Agglomération 4082;471;0.07038941224334203;0.02210367570561932;0.7565547826301181;0.037083533921218964;0.17090226260129335;0.032526480342878514;0.0021535425252465685;0.004005612060416385
Agglomération 3787;317;0.10083221052078428;0.03171473866626283;0.6929242188515234;0.048585511091364934;0.19904486621428932;0.04205529730813533;0.0071987044134030585;0.008904293380695653
Agglomération 4671;616;0.08653123419018299;0.021242894764113424;0.6996540697749595;0.03463641668218673;0.2105803573617219;0.03080656604525348;0.0032343386731357067;0.004290122354073356
Agglomération 581;256;0.08377164955403733;0.03247141150907341;0.5852464211668765;0.05774511164607163;0.30026533639220876;0.05372421329189683;0.030716592886877416;0.020223796236814178
Agglomération 5113;591;0.08788197458275136;0.021839990018770135;0.776314773135707;0.03214508583439966;0.13392081612636447;0.026271196757485956;0.0018824361551771985;0.003343705271855986
Agglomération 1344;443;0.05243704683562747;0.019860585126440254;0.6832524142339759;0.04144919827313059;0.2288343901038621;0.03742858111741844;0.03547614882653447;0.016481381427752458
Agglomération 4436;602;0.06990187545190449;0.019488629814699742;0.6700825830581857;0.03593679105642177;0.24891041785516393;0.03304759913510989;0.011105123634745848;0.008009571273941155
Agglomération 6002;252;0.0884850073231362;0.03354959153333338;0.3853047211948503;0.05749136065250533;0.5191896280939435;0.05902288055209064;0.007020643388069972;0.009863454602415528
Agglomération 1711;594;0.09542317308730774;0.022606180301161898;0.701079029272407;0.0352240437142578;0.19743703644891059;0.030628900006063036;0.006060761191374678;0.005972016998398897
