Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Suisse,57090,36.83175306457636,0.4602142135149309,1.916188481494369,0.025100059709998047,0.886895176365566,0.037273145823185215,0.5323889686711758,0.06077432247108858,23.821939326852835,0.3753770421980637,1.484364451403203,0.04422530718715487,7.502761658544622,0.26969997261318823,0.6872150012445857,0.09065163865274804
Agglomération Bellinzona,577,32.614598496565534,4.098496422280539,1.817215589661148,0.2222300130912223,0.4052097767639393,0.19138393794033054,0.6717722367104393,0.9639727790386057,22.744449502370955,2.968205957995603,0.8972542940533377,0.32572177673292924,5.782961414984446,2.6669900456608646,0.29573568202126677,0.35872366190840627
Agglomération Heerbrugg (CH),572,40.05733912876914,5.769414153627578,1.363858854757596,0.215148447555369,1.5185897993397186,0.42704653155585653,0.19199121235803887,0.2010372332139499,31.888810443172932,5.47549785354813,0.4154925091241438,0.1780971741940726,3.3285375382816818,1.505712828998845,1.3500587717350174,1.442668957138758
Agglomération Genève (CH),5249,24.89545470195606,1.2916267032880246,2.0928759755159634,0.08176935670319117,0.7593598413057684,0.11332713644989927,0.9928881139231407,0.27504498903828206,14.986959870459287,1.0690566352813982,2.19965575614372,0.1351443906994897,3.543386409129498,0.6769418481871775,0.32032873547867824,0.1930430707925204
Agglomération St. Gallen,592,30.07116294023283,3.7117171149146255,2.280321170763497,0.26049707956234136,0.8443676824974083,0.3679309229405769,0.061976862644877964,0.06453510995761065,18.302432845325658,2.7779822777605965,2.018742531826919,0.38225460295885455,6.496002896859562,2.5046082126572915,0.06731895031491356,0.055231090299937384
Agglomération Chur,726,41.923320727598515,4.690435567399264,2.132039756967453,0.2416577567356397,0.9184805610426728,0.2309903209675126,0.8649543718976191,0.7727451471964097,26.60787915660418,3.630214948691044,1.2152917003465482,0.3231085251375058,8.689641732710253,2.733147790701307,1.4950334480297798,1.0920186343680167
Agglomération Basel (CH),3305,31.6188350526891,1.808713722746792,1.8858182785974253,0.09377046004782195,1.2343661282652194,0.14131876583510938,0.5778684464247055,0.31033860788077006,17.389674532862514,1.4289901661542557,2.588254652748603,0.2182538448878332,7.436523465431106,1.1074953354041903,0.5063295483595287,0.25561188477836216
Agglomération Zürich,4847,34.2725896487431,1.3974511012521906,2.1284204775523667,0.08766794273703504,0.8702314194228362,0.11997077954016201,0.3163488892828264,0.12132795329086277,19.2451620298684,1.1019689873111984,2.0065224478630186,0.12796520985056006,8.930751147342034,0.8879854841090498,0.7751532374116125,0.3176043513034615
Agglomération Wil (SG),616,38.722889567456704,4.653328431378249,1.6386665055236462,0.21575780722841637,0.7036387717819669,0.21918132353145633,0.6014905205058815,0.46704223537346745,26.31513829764569,3.7897784641042134,0.6611395458811925,0.22931455793766176,8.717596393218889,2.9416117099062666,0.08521953289943783,0.05718121047104356
Agglomération Baden-Brugg,921,36.563319094949385,3.5129514776314323,1.9623114945641513,0.19641393484733974,1.0249848104530932,0.3268701098305227,0.8477931387411198,0.6723215019120932,22.753804061374524,2.834432126097824,1.522144862673113,0.2724845693570127,8.086355772166117,2.1944800963914126,0.3659249549772644,0.38542644708028706
Agglomération Olten-Zofingen,919,38.322282492528444,3.5081168280321613,1.7912827168573315,0.1882115061655573,0.9046580163808926,0.2349938845743575,0.41325115270470264,0.3744980088116171,22.754537206138917,2.5232720630394647,1.0307953835072865,0.27540487630559185,11.079280850085105,2.6342779621738464,0.34847716685420854,0.4248456016229401
Agglomération Vevey-Montreux,831,40.33286120271036,4.143040395638281,2.058438773910964,0.21788490861420703,0.31278690112457963,0.14930563220943213,0.3371683902832126,0.27107716621325245,27.844122295609104,3.2117308378672105,1.0640752702022633,0.40756462302529467,8.195472892166366,2.7807193449972347,0.5207966794138716,0.6589483853729458
