Agglomération;Echantillon;Total;Total (+/-);A pied;A pied (+/-);Vélo (incl. vélo électrique);Vélo (incl. vélo électrique) (+/-);Deux-roues motorisé;Deux-roues motorisé (+/-);Voiture;Voiture (+/-);Transports publics routiers;Transports publics routiers (+/-);Train;Train (+/-);Autres;Autres (+/-)
Suisse;57090;36.83175306457636;0.4602142135149309;1.916188481494369;0.025100059709998047;0.886895176365566;0.037273145823185215;0.5323889686711758;0.06077432247108858;23.821939326852835;0.3753770421980637;1.484364451403203;0.04422530718715487;7.502761658544622;0.26969997261318823;0.6872150012445857;0.09065163865274804
Agglomération Bellinzona;564;32.76940641854862;4.178979608554494;1.9197511663395783;0.23711144327107023;0.42093410489543426;0.19632250495275622;0.6872549556077556;0.9861882615100258;22.702168767355882;3.0138744399487525;0.898779473797523;0.33258194543544933;5.83796627914903;2.727434147266129;0.30255167140341654;0.36698570537183833
Agglomération Rheintal (CH);572;40.05733912876914;5.769414153627578;1.363858854757596;0.215148447555369;1.5185897993397186;0.42704653155585653;0.19199121235803887;0.2010372332139499;31.888810443172932;5.47549785354813;0.4154925091241438;0.1780971741940726;3.3285375382816818;1.505712828998845;1.3500587717350174;1.442668957138758
Agglomération Genève (CH);5456;25.641235118072778;1.2721797518641753;2.0796542642871434;0.0799641330845474;0.734925651469351;0.109178342046863;0.9626776392663139;0.26495433823361714;15.828705418652143;1.0638716312535244;2.1562850806462057;0.13171237853237633;3.5619975812807785;0.6584944290190212;0.3169894824708405;0.18613485236878358
Agglomération St. Gallen;661;30.164451780561734;3.285430649643093;2.2981794317475335;0.2519716928429705;0.7839323175590585;0.31774013747918084;0.13758537110661384;0.22380540762698273;19.260483906992004;2.7109078600423144;2.0936142011934846;0.3825829324012699;5.520206877666834;1.8979439645423868;0.07044967429621432;0.05244759883616153
Agglomération Chur;593;40.77753324129079;5.22479986664075;2.1863768251086566;0.26820033979775726;1.0212193656424338;0.27430170300282386;0.5385175429807196;0.5252046224162933;25.348575910503;3.974827478561695;1.2707134760212098;0.3642385735042257;8.577048228072837;3.0174759921039978;1.8350818929619375;1.343149232746011
Agglomération Basel (CH);3452;31.989978689588817;1.7840027383818744;1.8638648585245146;0.09062026727963109;1.2375995565192375;0.14140364258198887;0.6703882885202435;0.3363801675582732;17.72442113480832;1.403144449147131;2.6083745871697426;0.21422825674392013;7.236851836777955;1.0643099858388831;0.6484784272688003;0.3457296491710369
Agglomération Zürich;5453;34.52851705390401;1.3235454940378653;2.1191566846565464;0.08272549193903139;0.8671637860988657;0.11311874549813206;0.3008679416665965;0.11156342150449237;19.548806158916697;1.0442103062655126;1.9476073133807421;0.11954657212926519;8.937778346264977;0.8361280929099588;0.8071368229195809;0.3028795641996472
Agglomération Yverdon-les-Bains;379;36.59565955345695;5.8280164558367185;1.9223756300911254;0.3308532247311521;0.6636240523004515;0.31017541432074014;0.11799056885694882;0.08964096808126512;26.646345589275967;5.082423675506689;0.48404731743875296;0.20615203226453452;5.74349667959957;2.302726088772515;1.0177797158941322;2.190700777279551
Agglomération Wil (SG);611;38.25431762283247;4.677481632829281;1.6926256627648422;0.21891161897206443;0.7327424094209731;0.2233827803524021;0.6142968637798899;0.4738771926748024;25.500432142939474;3.777482494766423;0.6654523728556637;0.22403917984765395;8.984171573308599;2.986245271769361;0.06459659776301906;0.043302688180459264
Centre hors des agglomération Davos;57;48.997956256052994;19.08691529065934;2.480431991354868;0.8740341628745847;0.5739555960123508;0.45840632000128684;0.0;-;33.484733112557656;16.63478915427433;1.226558118478188;0.9630228177893003;5.522105091699878;6.17384549811462;5.710172345950047;9.310429315689767
Agglomération Baden - Brugg;805;35.699293925759235;3.8127394155471452;1.950331356152738;0.21143574268098828;1.1642661231737357;0.3748574208238444;0.7027867642246522;0.5962048807324566;21.356871290442008;3.079276978064448;1.6023728552955936;0.2961755934326119;8.717590975148182;2.411762423270211;0.20507456132232085;0.2530326610646871
Agglomération Olten - Zofingen;766;37.722813481071974;3.925777688597859;1.8225915662725696;0.2031501553505654;0.8390609947645216;0.20238633790262167;0.4057142664813629;0.42777026250927186;20.95453476886078;2.633192059090183;0.9745232508599491;0.3002550298436524;12.303341398399855;3.0899290946632485;0.4230472354329315;0.5126478784731812
Agglomération Vevey - Montreux;744;37.141837280357315;3.813135216540881;2.1070080051475366;0.23340543818554788;0.30972185773898747;0.16708760160143526;0.40032668725549725;0.31292271139642536;26.400386980259007;3.4615101895959217;1.0538267200195346;0.45643034362359614;6.356026135659225;1.7121720560899447;0.5145408942775247;0.7474531083597883
Agglomération Delémont (CH);493;39.66234416864669;5.612204164014671;1.7312695146799812;0.39277647874802407;0.8856238899755421;0.5427857470490938;0.39963752209910003;0.4549073952143243;26.301847121768144;4.577561637712807;0.8256427903984846;0.29638365730676486;8.422017303132542;3.05524837593917;1.0963060265929003;1.1280390182692197
Agglomération Winterthur;882;37.84431935648596;3.433452888035459;1.882337522140755;0.1758798339140311;1.604230747491705;0.35896554196680946;0.1239004545455505;0.08999591331682769;21.65100485016811;2.92338200629718;1.3038186354530072;0.20333777873022668;11.181896702656749;2.17694993959899;0.09713044403008673;0.06541950036781304
Centre hors des agglomération Mels - Sargans;68;45.340000411596336;14.27698076226554;1.7019713811270631;0.6458478301814785;1.1887160042613159;0.8576155302485056;1.1378109445952285;1.3071449806764097;24.996678936337602;8.938207824729721;0.5525722792035301;0.5026801032132857;14.460785381274519;11.766040982040387;1.3014654847970721;1.5467435108819882
Agglomération Sion;654;37.74414361305347;4.835219240789303;1.8037274916203367;0.23313699361799123;0.3996173474951357;0.21888179978517155;0.31548047007221836;0.2091018336356199;27.28353017308552;4.113223559085457;1.0928110232874682;0.37026415311760236;4.906834033904637;2.2135340257842064;1.9421430735881413;1.4282560308573289
Agglomération Aarau;729;39.5739409722353;4.267729572773577;1.8426001177370999;0.24059320109434573;1.5129468571947904;0.3254173067063135;0.3020974748115668;0.27808800287115537;20.783557163821328;2.7156925131614282;1.0735325222477163;0.31523911318586995;12.86332663473325;3.312582926939831;1.1958802016895467;1.2361736531022844
Agglomération Bulle;492;43.993273707807106;6.020190429966863;2.0930308803442546;0.3296407337249024;0.5220534798648905;0.3544609084625661;0.27156263684113807;0.3714774025359148;34.02590034031003;5.356878614950616;0.3642881129145164;0.2576512272021398;4.883392311785729;2.2895394916511687;1.8330459457465476;1.600885529823747
Agglomération Locarno (CH);520;26.703874129486472;3.7512736580894877;1.920806987135616;0.2599476232503753;0.5000547780180877;0.20757793665092186;0.3505741406908343;0.23299944391253166;20.191875289154062;3.308173027418072;0.7336383524891837;0.26679696470375897;2.9588622074417996;1.851876449311318;0.048062374556891586;0.06958415152475723
Agglomération Solothurn;878;37.481350641311415;3.4387048213520806;1.672828568168069;0.20162150245613025;1.2312145255239177;0.31257108948346773;0.10951715363996337;0.1537411378286389;25.1073433227449;2.7750660525686666;0.8967132043689846;0.2278933997839875;8.255562641130519;2.218307496026801;0.20817122573506605;0.16891244882105594
Agglomération Neuchâtel;1320;41.95053674210522;3.252091820128182;1.9939219719067378;0.16002990908670361;0.7005755989692933;0.2841684147011634;0.5442932481182703;0.2812924292282792;29.534323011400605;2.8889189972288944;1.615174336506046;0.25737001991290853;6.628660919162942;1.6949910157605133;0.9335876560413301;0.5606409826285746
Agglomération Bern;1490;39.29656051958719;3.102469915004553;2.088701376793703;0.14447893307209458;1.477719098840939;0.3786312965828622;0.3722975976543283;0.2688265727469739;21.491336512613753;2.3662192018310972;1.9740173363677933;0.22792858826598622;11.439303192358617;2.1316279068177537;0.4531854049580594;0.33032539749758205
Agglomération Arbon - Rorschach;527;38.82965576759525;4.898104308496026;1.702048182530268;0.23808705513664136;1.0874198482901456;0.3409977342348557;0.3231240877811928;0.40606338511577744;29.34962461601863;4.438890521495289;1.0228060791406106;0.3556362476642437;4.603430863203523;2.1419420855158244;0.7412020906308833;1.0802017977870655
Agglomération Luzern;1768;34.900797268290596;2.3830359739070617;2.177277481338232;0.17048647253042667;1.0974065601687746;0.22528106342550158;0.28801960105527463;0.12114079914204859;21.329803671255316;1.9765921182999742;1.814981737290873;0.23555662234812705;7.249306286465791;1.3240921261839056;0.9440019307163298;0.563928090622512
Agglomération Martigny;250;35.006764847398166;6.763514281389531;1.7049813788984378;0.30646728550368596;0.2078526130695013;0.14789017501474974;0.22120571253069563;0.18679591540344467;24.514223105943767;5.0436084949603215;0.19033545898445653;0.15549039332124745;7.957750566143397;4.931383925452517;0.2104160118279075;0.2578775992519366
Agglomération Biel/Bienne;576;33.40242824820646;4.660237864946152;1.9513975105408785;0.24804418503116596;1.2531197404152712;0.43570229260792964;0.08417787334850646;0.06920046185806664;18.086341145615563;3.0020351396622353;0.8937111531790962;0.2586396064873006;10.66352090018826;3.8068596294479;0.4701599249188884;0.43804497560592565
