Agglomération,Echantillon,A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Suisse,57090,0.05202544875164521,0.001742998401990647,0.024079635167258827,0.0012031585835619698,0.014454619299215791,0.0009367687066162078,0.6467772328155631,0.003751391917167759,0.04030121642053521,0.0015435378433181362,0.20370362619965937,0.0031610217287982505,0.01865822134612234,0.001062028073046934
Agglomération Bellinzona,564,0.05858364176083863,0.018544291890856924,0.012845338103444284,0.008891940991531316,0.020972456651480433,0.011314967462029986,0.6927854742741287,0.03642935327236712,0.027427395611559893,0.012896875372278325,0.1781529456036939,0.030215042315714098,0.009232747994854183,0.007552357057615834
Agglomération Rheintal (CH),572,0.03404766478305781,0.014219825037737135,0.0379104012490203,0.014974753752473329,0.0047929097771786605,0.005415381996965731,0.796079099030081,0.031592334620400786,0.010372444055469918,0.007944181896952647,0.08309432455265435,0.021643164017677137,0.03370315655253814,0.014150223793006357
Agglomération Genève (CH),5456,0.08110585370442375,0.006930944404464057,0.028661866251183485,0.004236147024831071,0.03754412121075194,0.004826084917103754,0.6173144681121682,0.012339791517349446,0.08409443112693062,0.0070459984146665385,0.1389167707748277,0.008780787716984645,0.012362488819714305,0.0028053387904917954
Agglomération St. Gallen,661,0.07618833746643797,0.019351114942748278,0.02598861478610501,0.011604958894726548,0.004561175920169554,0.004914911734443435,0.638515960678047,0.035042934423920556,0.06940667168175188,0.018537475950033414,0.18300371967058615,0.02820395558430659,0.00233551979690255,0.0035209029592230935
Agglomération Chur,593,0.053617191902494976,0.017347179028136997,0.025043676859991138,0.012033307997368126,0.013206231475410186,0.008791157456937013,0.6216309299659981,0.03734801532165819,0.031162097729209914,0.013380807100489632,0.21033759392262183,0.03138503296673872,0.04500227814427376,0.015964739060752832
Agglomération Basel (CH),3452,0.05826402313706799,0.007476531644112733,0.038687101624172576,0.006155322922877566,0.02095619678353904,0.004571857185170988,0.5540616737133608,0.015865428809037498,0.08153724053647594,0.008734622515240447,0.22622246507257598,0.013353997287212009,0.020271299132807757,0.004498099589690303
Agglomération Zürich,5453,0.06137410075701301,0.006095254481643172,0.025114423093963105,0.003973666642107002,0.00871360739868724,0.0023602150281710585,0.5661640819499484,0.012585976434915984,0.05640576194860166,0.005858782558556397,0.25885207674316896,0.011123239276534509,0.02337594810861769,0.0038370842047633818
Agglomération Yverdon-les-Bains,379,0.05253015394579851,0.021490087509062696,0.018133955239447608,0.012853563251537593,0.003224168393101226,0.0054608312521785855,0.7281285790286806,0.042858499877676655,0.013226905139711528,0.011004971391194942,0.15694475109021558,0.03503906952270828,0.027811487163044976,0.01583939165232639
Agglomération Wil (SG),611,0.04424665679448905,0.015601389959984883,0.01915450215699649,0.010398863664310856,0.016058236088185792,0.00953638476431052,0.6666027190541047,0.03576553416431023,0.017395484071018482,0.009918769220071927,0.23485379250226932,0.032160378571890545,0.0016886093329361587,0.0031149261476559227
Centre hors des agglomération Davos,57,0.05062317249300467,0.054453690496480724,0.0117138680848846,0.026725438572809616,0.0,0.0,0.6833904038277332,0.11553931829006288,0.025032842432620127,0.03880461704917163,0.11270072292081981,0.07854738671217738,0.11653899024093761,0.07970079342663008
Agglomération Baden - Brugg,805,0.054632210939764676,0.0150209569731656,0.0326131414698274,0.01174003042262358,0.019686293115101318,0.009182000763476122,0.5982435208622352,0.032403599817064706,0.04488528144640372,0.013685244428789387,0.24419505308080913,0.028395276982602042,0.005744499085858586,0.0049951426707400765
Agglomération Olten - Zofingen,766,0.04831536669943997,0.014529328307411597,0.022242799975286415,0.00999232631890303,0.010755143348068048,0.0069890214096622145,0.5554870603534133,0.03366941309277851,0.025833790243374396,0.010748972802654256,0.32615121363026794,0.03176487082089388,0.011214625750149901,0.007135095302018464
Agglomération Vevey - Montreux,744,0.05672869624739432,0.015903913259937803,0.008338894368663495,0.0062520171702131625,0.01077832214474787,0.007099155322162919,0.7107991664758332,0.031171486329069225,0.02837303690888919,0.011415290720923834,0.17112847939325415,0.025893397621418665,0.013853404461217722,0.008035877038001118
Agglomération Delémont (CH),493,0.04365020653641949,0.01725634558787505,0.02232908590096984,0.01247898072001526,0.01007599350153932,0.008435137406528051,0.6631440393419789,0.03991842038400407,0.020816792544782563,0.01205830263731796,0.212342903064973,0.03454098868731888,0.027640979109337074,0.013846414527209562
Agglomération Winterthur,882,0.04973897150611985,0.013727969978267054,0.042390265560867155,0.01272224649383756,0.0032739511940598764,0.0036071189640505454,0.5721071277889808,0.031242276122559122,0.03445216237531702,0.01151679407505035,0.29547094234475474,0.02881000307507758,0.0025665792299007224,0.003194888872423069
Centre hors des agglomération Mels - Sargans,68,0.03753796571849524,0.043225842580167505,0.026217820764670427,0.03633670169311095,0.025095080155848822,0.035570643493494196,0.5513162485535479,0.11310631794047285,0.012187302033243965,0.024952116339538023,0.3189410068372204,0.10598974412915493,0.0287045759369734,0.037972355337022874
Agglomération Sion,654,0.04778827439064043,0.01564261355474426,0.01058753250814073,0.007505298111262879,0.008358395233614797,0.006676067219806354,0.7228546619786008,0.032821706786561905,0.028953128053209553,0.012295599874093356,0.1300025265961434,0.024661345726141856,0.05145548123965037,0.016200430710471142
